epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8281,1.01558,5.2313,0.97732,0,0,0,0,0.71538,4.70798,0.82132,5.54247e-05,5.54247e-05,5.54247e-05
2,23.4896,0.97942,4.58278,0.90276,0.01936,0.29481,0.03266,0.02818,0.72291,3.99558,0.83084,7.48779e-05,7.48779e-05,7.48779e-05
3,29.7648,0.96271,4.20981,0.9103,0.46542,0.05141,0.05459,0.04691,0.72657,3.27411,0.84614,5.71511e-05,5.71511e-05,5.71511e-05
