epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0807,0.85451,14.9455,0.00369,0.10514,0.05614,0.01645,0.01504,0.59028,5.96129,0.00392,5.54247e-05,5.54247e-05,5.54247e-05
2,46.1409,0.80811,8.26384,0.00348,0.39379,0.09124,0.07557,0.06713,0.61508,3.20742,0.00414,0.000106226,0.000106226,0.000106226
3,67.1958,0.79657,5.42383,0.00357,0.46362,0.18887,0.15995,0.1401,0.64755,2.26858,0.00476,0.00015145,0.00015145,0.00015145
4,87.6492,0.8152,3.69681,0.00355,0.56506,0.23775,0.2526,0.219,0.66623,1.85246,0.0052,0.000143904,0.000143904,0.000143904
5,104.775,0.80164,2.83751,0.00351,0.53235,0.3142,0.33056,0.28457,0.66501,1.6037,0.00526,0.000135538,0.000135538,0.000135538
6,125.764,0.80065,2.37354,0.0034,0.53134,0.37102,0.37355,0.32175,0.65013,1.46912,0.00509,0.000127172,0.000127172,0.000127172
7,142.213,0.78076,2.04548,0.0034,0.52514,0.37252,0.41234,0.35482,0.63612,1.34688,0.00481,0.000118807,0.000118807,0.000118807
8,158.61,0.76341,1.77876,0.00341,0.53725,0.43591,0.45782,0.39717,0.6199,1.24922,0.00463,0.000110441,0.000110441,0.000110441
9,175.072,0.7589,1.62493,0.00331,0.58009,0.49432,0.51362,0.44766,0.63387,1.08635,0.00497,0.000102076,0.000102076,0.000102076
10,192.556,0.76078,1.49941,0.00337,0.61723,0.52131,0.54641,0.47909,0.59729,1.03356,0.00448,9.37105e-05,9.37105e-05,9.37105e-05
11,214.601,0.68303,1.33173,0.00345,0.6218,0.53202,0.58107,0.50471,0.61905,0.962,0.0046,8.5345e-05,8.5345e-05,8.5345e-05
12,232.225,0.67947,1.22336,0.00342,0.62388,0.54697,0.60596,0.53215,0.59531,0.9316,0.00442,7.69795e-05,7.69795e-05,7.69795e-05
13,249.854,0.6668,1.10948,0.00341,0.6899,0.55943,0.62695,0.55119,0.59912,0.88275,0.00442,6.8614e-05,6.8614e-05,6.8614e-05
14,267.353,0.64839,1.04054,0.00327,0.64878,0.58708,0.64134,0.56028,0.60408,0.86295,0.00442,6.02485e-05,6.02485e-05,6.02485e-05
15,285.262,0.65166,0.99424,0.00329,0.76847,0.55579,0.64582,0.57002,0.58766,0.85358,0.00433,5.1883e-05,5.1883e-05,5.1883e-05
16,302.412,0.63819,0.92574,0.00318,0.69271,0.58925,0.66063,0.58387,0.57319,0.83012,0.00406,4.35175e-05,4.35175e-05,4.35175e-05
17,319.452,0.63702,0.90667,0.00312,0.74621,0.58803,0.66406,0.58601,0.58133,0.81872,0.0042,3.5152e-05,3.5152e-05,3.5152e-05
18,336.294,0.62709,0.86463,0.00304,0.75844,0.56586,0.67566,0.59948,0.56782,0.80352,0.00409,2.67865e-05,2.67865e-05,2.67865e-05
19,352.992,0.62567,0.85224,0.00308,0.75608,0.57801,0.6763,0.59933,0.56406,0.79884,0.00404,1.8421e-05,1.8421e-05,1.8421e-05
20,369.391,0.61528,0.83457,0.00307,0.75261,0.59209,0.67811,0.60247,0.56111,0.80012,0.00402,1.00555e-05,1.00555e-05,1.00555e-05
