epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3414,0.81394,5.19457,0.95666,0.02666,0.05451,0.02001,0.01828,0.58868,4.28048,0.82923,5.54247e-05,5.54247e-05,5.54247e-05
2,30.5354,0.83135,4.3655,0.93941,0.58082,0.07122,0.08443,0.07365,0.62636,3.13457,0.88183,0.000106226,0.000106226,0.000106226
3,40.877,0.80202,3.73265,0.93832,0.4174,0.17972,0.14981,0.1276,0.64326,2.39542,0.90171,0.00015145,0.00015145,0.00015145
4,50.9493,0.79175,3.25339,0.94125,0.47799,0.21192,0.20283,0.17458,0.64114,1.94657,0.94261,0.000143904,0.000143904,0.000143904
5,61.3101,0.75633,2.84728,0.92525,0.44068,0.30501,0.27886,0.23998,0.63204,1.60028,0.92903,0.000135538,0.000135538,0.000135538
6,71.3294,0.76082,2.59482,0.92952,0.51165,0.29043,0.31679,0.27447,0.60685,1.45689,0.90972,0.000127172,0.000127172,0.000127172
7,81.1136,0.73007,2.38208,0.9179,0.4284,0.37294,0.36206,0.31128,0.59951,1.30539,0.90544,0.000118807,0.000118807,0.000118807
8,93.8791,0.70719,2.18763,0.90939,0.54363,0.38107,0.40297,0.34982,0.6018,1.22775,0.90944,0.000110441,0.000110441,0.000110441
9,110.025,0.70829,2.09545,0.91058,0.53184,0.40828,0.41244,0.35761,0.58809,1.17548,0.90692,0.000102076,0.000102076,0.000102076
10,125.994,0.70785,2.02329,0.91585,0.5016,0.4464,0.44196,0.38312,0.57247,1.1122,0.89852,9.37105e-05,9.37105e-05,9.37105e-05
11,141.544,0.6352,2.01267,0.88399,0.40403,0.55088,0.47144,0.41076,0.58595,1.09318,0.9039,8.5345e-05,8.5345e-05,8.5345e-05
12,151.217,0.63786,1.92407,0.88639,0.49317,0.52309,0.50813,0.44338,0.55586,1.0071,0.89425,7.69795e-05,7.69795e-05,7.69795e-05
13,160.881,0.62783,1.85238,0.88359,0.48197,0.57517,0.5136,0.44797,0.5535,0.98896,0.89863,6.8614e-05,6.8614e-05,6.8614e-05
14,170.403,0.61541,1.78968,0.87673,0.54611,0.50769,0.52731,0.45838,0.57346,0.96614,0.90177,6.02485e-05,6.02485e-05,6.02485e-05
15,180.01,0.61158,1.74291,0.87861,0.59312,0.53897,0.55071,0.47979,0.55973,0.93616,0.89112,5.1883e-05,5.1883e-05,5.1883e-05
16,189.585,0.60373,1.69296,0.87323,0.53472,0.54978,0.56327,0.49382,0.55005,0.90645,0.88986,4.35175e-05,4.35175e-05,4.35175e-05
17,199.161,0.61093,1.66839,0.8751,0.53497,0.58836,0.55863,0.48885,0.54059,0.89914,0.88197,3.5152e-05,3.5152e-05,3.5152e-05
18,208.699,0.59394,1.61736,0.8687,0.57379,0.56107,0.57685,0.50643,0.54161,0.87292,0.88047,2.67865e-05,2.67865e-05,2.67865e-05
19,218.148,0.59211,1.58098,0.86467,0.62498,0.51879,0.58497,0.51472,0.53857,0.85785,0.88125,1.8421e-05,1.8421e-05,1.8421e-05
20,227.656,0.58347,1.55788,0.86915,0.56847,0.562,0.5893,0.51643,0.5395,0.84821,0.87989,1.00555e-05,1.00555e-05,1.00555e-05
