epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.8372,0.99963,5.19699,0.96589,0.01726,0.11844,0.01709,0.01499,0.71244,4.42705,0.83361,5.58753e-05,5.58753e-05,5.58753e-05
2,72.2847,0.98764,4.53176,0.90716,0.29052,0.06759,0.0465,0.0398,0.73816,3.44428,0.84962,7.51798e-05,7.51798e-05,7.51798e-05
3,95.1845,0.95886,4.10028,0.89873,0.31161,0.10076,0.06701,0.05782,0.72069,3.14198,0.85076,5.73043e-05,5.73043e-05,5.73043e-05
